track_name,artist_name,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature
"""Honest""",Nico Collins,0.0162,0.476,191948.0,0.799,0.0,4.0,0.257,-4.939,0.0,0.212,162.139,4.0
"""In The Hall Of The Mountain King"" from Peer Gynt Suite N°1, Op. 46",London Symphony Orchestra,0.916,0.475,150827.0,0.13,0.956,7.0,0.101,-17.719,1.0,0.051,112.241,4.0
#BrooklynBloodPop!,SyKo,0.0164,0.691,145611.0,0.814,0.0,1.0,0.366,-3.788,0.0,0.117,132.012,4.0
$10,Good Morning,0.475,0.624,89509.0,0.596,0.203,4.0,0.119,-9.804,1.0,0.0314,120.969,4.0
(I Just) Died In Your Arms,Cutting Crew,0.0158,0.625,280400.0,0.726,0.000169,11.0,0.0625,-11.402,0.0,0.0444,124.945,4.0
(L)only Child,salem ilese,0.29,0.645,144468.0,0.611,2.05e-05,8.0,0.237,-5.925,0.0,0.137,157.475,3.0
(lol),Eren Cannata,0.000708,0.663,217627.0,0.904,0.289,7.0,0.341,-4.71,1.0,0.0857,118.024,4.0
-Interlude-,NF,,,,,,,,,,,,
"...And to Those I Love, Thanks for Sticking Around",$uicideboy$,0.124,0.792,168490.0,0.511,9.04e-05,2.0,0.14,-6.876,1.0,0.0409,113.983,4.0
...Baby One More Time,Britney Spears,0.202,0.759,211067.0,0.699,0.000131,0.0,0.443,-5.745,0.0,0.0307,92.96,4.0
0 to 100,Sidhu Moose Wala,0.139,0.742,108493.0,0.675,0.0,8.0,0.167,-6.551,1.0,0.0907,145.989,4.0
01:22,colours in the dark,0.967,0.62,129160.0,0.122,0.963,2.0,0.0726,-19.47,0.0,0.0428,72.019,3.0
"10,000 Hours (with Justin Bieber)",Dan + Shay,0.153,0.654,167693.0,0.63,0.0,10.0,0.111,-4.644,1.0,0.0259,89.991,4.0
11:23,mj apanay,0.899,0.611,58018.0,0.256,0.00497,8.0,0.125,-11.29,1.0,0.0733,123.535,4.0
12 Hours,Chris James,0.497,0.83,133125.0,0.414,0.0,3.0,0.187,-7.387,1.0,0.148,87.99,4.0
120,OQTAN,0.0243,0.806,115125.0,0.945,0.837,8.0,0.267,-1.382,1.0,0.0486,119.992,4.0
12:45 - Stripped,Etham,0.634,0.459,179013.0,0.214,0.0,5.0,0.125,-10.66,1.0,0.0403,163.816,4.0
13 Missed Calls,Zach Hood,0.452,0.639,209538.0,0.724,0.0,7.0,0.159,-6.346,1.0,0.0664,129.712,3.0
143,Josh Golden,0.413,0.652,187885.0,0.713,0.0048,6.0,0.265,-8.331,0.0,0.105,156.031,4.0
17 (slowed + reverb),Shiloh Dynasty,0.373,0.78,209493.0,0.24,0.0141,11.0,0.452,-12.996,1.0,0.0711,140.502,4.0
18,Jeremy Zucker,0.0445,0.783,150773.0,0.599,0.0,4.0,0.108,-5.688,1.0,0.0441,113.97,4.0
1917,Thomas Newman,0.945,0.0814,77413.0,0.0155,0.915,7.0,0.0923,-33.085,0.0,0.044,171.075,1.0
1984,glaive,0.0125,0.665,150222.0,0.746,0.0,9.0,0.148,-2.98,1.0,0.044,134.999,4.0
1985,Bo Burnham,0.0432,0.646,146654.0,0.724,0.0,4.0,0.333,-7.466,0.0,0.0475,155.85,4.0
1992,Bruises,0.00173,0.579,188000.0,0.851,0.0533,5.0,0.219,-7.261,1.0,0.0278,120.01,4.0
1Stp Klosr (The Humble Brothers Reanimation) [feat. Jonathan Davis],Linkin Park,0.00272,0.471,346040.0,0.927,0.537,1.0,0.115,-5.76,1.0,0.0495,96.149,4.0
2 AM,Marco Luka,0.176,0.661,172800.0,0.528,0.000107,5.0,0.092,-9.347,0.0,0.0354,150.004,4.0
2009,glaive,0.26,0.473,110339.0,0.849,0.0,5.0,0.103,-2.434,0.0,0.052,79.538,4.0
2019,Bazanji,0.153,0.596,112245.0,0.881,0.0,11.0,0.16,-5.228,0.0,0.119,147.038,4.0
2021,Lauv,0.683,0.849,195952.0,0.489,1.91e-05,0.0,0.108,-7.433,1.0,0.0509,113.977,4.0
2055,Sleepy Hallow,0.492,0.829,123987.0,0.512,0.0,6.0,0.12,-5.865,0.0,0.187,80.511,4.0
20s,Comfort Club,0.13,0.67,175033.0,0.418,0.0,5.0,0.353,-7.74,1.0,0.0272,101.936,4.0
"21 Hungarian Dances, WoO 1 (version for orchestra): Hungarian Dance No. 5 (orch. Schmeling)",Johannes Brahms,0.929,0.32,135773.0,0.127,0.813,7.0,0.25,-15.953,0.0,0.0366,144.451,3.0
"21 Hungarian Dances, WoO 1: Hungarian Dance No. 5 in F-Sharp Minor",Seattle Symphony Orchestra,0.831,0.227,173853.0,0.0666,0.392,7.0,0.083,-21.772,0.0,0.0403,82.568,4.0
"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Johannes Brahms,0.899,0.358,138707.0,0.167,0.96,7.0,0.103,-16.0,0.0,0.0354,144.561,4.0
22,Taylor Swift,0.000443,0.642,230960.0,0.695,1.02e-05,7.0,0.0753,-5.62,1.0,0.0281,103.984,4.0
24,sundial,0.0303,0.839,133897.0,0.525,0.0,2.0,0.302,-4.873,1.0,0.131,135.996,4.0
24 Hours,Alexander Stewart,0.0908,0.512,198333.0,0.748,0.0,10.0,0.204,-7.338,1.0,0.0376,143.999,4.0
24/7,The Neighbourhood,0.00213,0.587,219973.0,0.744,0.00181,7.0,0.114,-4.611,0.0,0.0742,118.962,4.0
26,Lauv,0.809,0.643,159608.0,0.458,0.00015,6.0,0.237,-8.636,1.0,0.0875,164.16,4.0
27,Loving Caliber,0.686,0.612,211361.0,0.362,0.0,0.0,0.111,-7.85,1.0,0.0307,140.043,4.0
27 Reasons,WILLIS,0.157,0.522,208760.0,0.624,0.00598,11.0,0.253,-8.359,0.0,0.0323,130.477,4.0
29,Chris James,0.51,0.777,138281.0,0.597,0.0,4.0,0.107,-5.125,1.0,0.0496,133.854,4.0
29,Run River North,0.000268,0.439,207120.0,0.903,0.0,7.0,0.249,-4.655,0.0,0.0692,156.974,4.0
2AM,SZA,0.438,0.504,242823.0,0.267,0.0,9.0,0.141,-13.678,0.0,0.406,83.966,4.0
2chijou,Hiroyuki Sawano,0.134,0.479,407573.0,0.476,0.424,5.0,0.094,-12.218,1.0,0.0511,120.099,4.0
2lovely,Griff Clawson,0.818,0.544,184987.0,0.342,0.0744,0.0,0.131,-11.686,1.0,0.0321,132.073,4.0
2much,Idkconundrum,,,,,,,,,,,,
2step,Ed Sheeran,0.169,0.763,153627.0,0.661,0.0,4.0,0.117,-5.592,0.0,0.056,95.002,4.0
2step (feat. Armaan Malik),Ed Sheeran,0.18,0.747,153124.0,0.667,0.0,4.0,0.146,-5.181,0.0,0.0566,95.0,4.0
2step (feat. Lil Baby),Ed Sheeran,0.138,0.693,163450.0,0.643,0.0,4.0,0.108,-5.867,0.0,0.0828,95.055,4.0
2z Don Corleon,Lil 2z,0.336,0.847,117943.0,0.444,0.0,8.0,0.0996,-10.167,0.0,0.492,115.042,4.0
3 Peg,Sharry Mann,0.14,0.69,204396.0,0.926,0.0,0.0,0.112,-0.223,0.0,0.253,167.927,4.0
"3,000 Miles From Home.",Ben Zaidi,0.5,0.713,158507.0,0.418,0.000655,2.0,0.119,-9.035,1.0,0.0519,84.041,4.0
"30,000 Feet",Ben Rector,0.694,0.555,256933.0,0.452,0.0,0.0,0.0595,-9.636,1.0,0.0554,179.921,4.0
30/90,Andrew Garfield,0.0146,0.466,262505.0,0.789,0.0,0.0,0.0637,-5.956,1.0,0.0663,175.772,4.0
3005,Childish Gambino,0.112,0.664,234215.0,0.447,0.0,6.0,0.091,-7.272,0.0,0.289,83.138,4.0
3:15,Bazzi,0.385,0.651,167019.0,0.654,0.0,1.0,0.181,-5.481,1.0,0.0466,141.975,4.0
4am,girl in red,0.663,0.418,110862.0,0.392,0.335,9.0,0.204,-13.771,1.0,0.0383,168.902,4.0
4u,blackbear,0.392,0.776,158571.0,0.513,0.0,5.0,0.0642,-6.757,1.0,0.0872,153.934,4.0
5 Taara,Diljit Dosanjh,0.13,0.687,178421.0,0.855,0.0,4.0,0.311,-2.837,0.0,0.109,167.947,4.0
5 dollars,Christine and the Queens,0.424,0.726,208293.0,0.654,0.0,2.0,0.0668,-6.201,1.0,0.0423,129.013,4.0
"52 Non Stop Dilbar Dilbar Remix(Remix By Kedrock,Sd Style)",Arya Acharya,0.0593,0.521,4581483.0,0.837,1.28e-05,7.0,0.157,-4.501,1.0,0.0794,106.001,4.0
52-Hearts,Hikaru Station,0.714,0.285,316800.0,0.803,1.07e-05,1.0,0.0495,-6.128,1.0,0.158,95.806,4.0
5am in cairo,"oh, the joy.",0.936,0.751,177288.0,0.193,0.94,3.0,0.11,-15.902,1.0,0.0449,113.987,4.0
6 Underground,Sneaker Pimps,0.0281,0.587,228840.0,0.687,0.14,1.0,0.121,-8.635,0.0,0.0509,169.938,4.0
608,Carlie Hanson,0.673,0.614,204760.0,0.511,0.00176,11.0,0.339,-8.758,0.0,0.0294,148.024,3.0
6AM,Fly By Midnight,0.0318,0.637,190912.0,0.885,0.0,5.0,0.107,-4.522,1.0,0.0274,127.027,4.0
7 Minutes,Dean Lewis,0.526,0.613,211453.0,0.739,0.0,10.0,0.149,-6.478,1.0,0.0311,104.966,4.0
7 Years,Lukas Graham,0.287,0.765,237300.0,0.473,0.0,10.0,0.391,-5.829,1.0,0.0514,119.992,4.0
772 Love,YNW Melly,0.226,0.676,209489.0,0.623,1.66e-05,6.0,0.159,-7.297,0.0,0.0352,111.466,4.0
7UP,Boy In Space,0.0169,0.618,203555.0,0.47,0.0,0.0,0.111,-7.379,1.0,0.0271,135.034,4.0
8 Letters,Why Don't We,0.649,0.607,190027.0,0.478,0.0,1.0,0.0928,-5.702,0.0,0.031,88.979,4.0
85%,Loote,0.346,0.574,174107.0,0.651,0.0,7.0,0.149,-7.585,1.0,0.046,140.017,4.0
9 to 5,Young Ejecta,0.232,0.659,219258.0,0.834,0.55,8.0,0.236,-5.715,1.0,0.0387,116.048,4.0
90210 (feat. G-Eazy),blackbear,0.0306,0.707,223296.0,0.707,0.0,11.0,0.127,-6.161,0.0,0.0375,104.039,4.0
90mh,Albanos Xwris Xartia,,,,,,,,,,,,
90mh,Trefuego,,,,,,,,,,,,
911,Ellise,0.509,0.765,188387.0,0.53,4.15e-06,10.0,0.117,-7.18,0.0,0.0833,130.104,4.0
:( (sad face),Bahari,0.242,0.661,188182.0,0.552,0.0,8.0,0.0953,-8.015,0.0,0.0278,110.072,4.0
@ my worst,blackbear,0.0173,0.615,191364.0,0.774,0.0,4.0,0.15,-5.152,0.0,0.0551,136.887,4.0
A Better Place,Project AER,0.937,0.496,120000.0,0.255,0.845,9.0,0.0909,-17.984,1.0,0.0283,141.961,4.0
A Dangerous Thing,AURORA,0.465,0.541,215573.0,0.556,0.0,11.0,0.116,-6.15,0.0,0.0356,105.886,4.0
A Different Way (with Lauv),DJ Snake,0.495,0.784,198286.0,0.757,1.18e-06,8.0,0.142,-3.912,1.0,0.0384,104.996,4.0
A Drug From God,Chris Lake,0.00819,0.714,192455.0,0.883,0.843,9.0,0.231,-4.43,1.0,0.0625,126.016,4.0
A Gift Of A Thistle,James Horner,0.9,0.0828,97667.0,0.012,0.812,9.0,0.0875,-36.045,0.0,0.0451,169.895,3.0
A Little Bit Yours,JP Saxe,0.735,0.598,225680.0,0.295,0.0,1.0,0.107,-8.553,1.0,0.0276,87.025,4.0
