,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,mode,speechiness,tempo
0,0.0162,0.476,0.4819818998771759,0.799,0.0,0.257,0.0,0.212,0.6864595505427695
1,0.916,0.475,0.44261645792757,0.13,0.956,0.101,1.0,0.051,0.4752027976765059
2,0.0164,0.691,0.43686984084400815,0.814,0.0,0.366,0.0,0.117,0.5589087029416248
3,0.475,0.624,0.3574179055504412,0.596,0.203,0.119,1.0,0.0314,0.5121551592745008
4,0.0158,0.625,0.5438640747134142,0.726,0.000169,0.0625,0.0,0.0444,0.5289886365560805
5,0.29,0.645,0.4355830858860428,0.611,2.05e-05,0.237,0.0,0.137,0.6667132381581398
6,0.000708,0.663,0.5024830970014222,0.904,0.289,0.341,1.0,0.0857,0.499686700875544
7,0.124,0.792,0.460698600554001,0.511,9.04e-05,0.14,1.0,0.0409,0.48257802841707736
8,0.202,0.759,0.4974855721141149,0.699,0.000131,0.443,0.0,0.0307,0.3935714406679198
9,0.139,0.742,0.3888241842565088,0.675,0.0,0.167,1.0,0.0907,0.6180841335162323
10,0.967,0.62,0.41729471197107837,0.122,0.963,0.0726,0.0,0.0428,0.30491202221883523
11,0.153,0.654,0.4599244107290479,0.63,0.0,0.111,1.0,0.0259,0.38100137174211246
12,0.899,0.611,0.2866223964743284,0.256,0.00497,0.125,1.0,0.0733,0.5230190181036088
13,0.497,0.83,0.42223174653501694,0.414,0.0,0.187,1.0,0.148,0.3725295940659452
14,0.0243,0.806,0.39851204548389774,0.945,0.837,0.267,1.0,0.0486,0.5080187640772917
15,0.634,0.459,0.4705904606928091,0.214,0.0,0.125,1.0,0.0403,0.693559586106454
16,0.452,0.639,0.49629843862001044,0.724,0.0,0.159,1.0,0.0664,0.5491710274517773
17,0.413,0.652,0.4784886064801892,0.713,0.0048,0.265,0.0,0.105,0.6605996714592965
18,0.373,0.78,0.49626336900926615,0.24,0.0141,0.452,1.0,0.0711,0.5948534268150181
19,0.0445,0.783,0.4425579888552187,0.599,0.0,0.108,1.0,0.0441,0.4825229893816999
20,0.945,0.0814,0.33371227271412973,0.0155,0.915,0.0923,0.0,0.044,0.7242925367068027
21,0.0125,0.665,0.4419601879434285,0.746,0.0,0.148,1.0,0.044,0.57155497976257
22,0.0432,0.646,0.4380352355114119,0.724,0.0,0.333,0.0,0.0475,0.659833358735965
23,0.00173,0.579,0.47858851607648956,0.851,0.0533,0.219,1.0,0.0278,0.5080949719724297
